ditto	9 (8) 
ditty	7 (3) 
diver	9 (7) 
dizzy	9 (7) 
dodge	8 (3) 
dodgy	7 (3) 
dogma	7 (2) 
doing	8 (6) 
dolly	8 (4) 
donor	9 (5) 
donut	9 (10) 
dopey	8 (3) 
doubt	8 (4) 
dough	7 (5) 
dowdy	8 (4) 
dowel	9 (7) 
downy	8 (4) 
dowry	8 (4) 
dozen	9 (4) 
draft	8 (4) 
drain	7 (1) 
drake	8 (4) 
drama	8 (4) 
drank	7 (1) 
drape	9 (5) 
drawl	6 (0) 
drawn	7 (1) 
dread	7 (2) 
dream	6 (0) 
dress	6 (0) 
dried	10 (8) 
drier	10 (7) 
drift	7 (2) 
drill	9 (4) 
drink	8 (3) 
drive	8 (3) 
droit	7 (2) 
droll	7 (3) 
drone	7 (1) 
drool	7 (2) 
droop	7 (1) 
dross	7 (1) 
drove	6 (0) 
drown	8 (2) 
druid	10 (12) 
drunk	8 (4) 
dryer	8 (9) 
dryly	7 (11) 
duchy	8 (2) 
dully	7 (10) 
dummy	8 (8) 
dumpy	7 (3) 
dunce	8 (5) 
dusky	7 (3) 
dusty	6 (0) 
dutch	6 (0) 
duvet	9 (7) 
dwarf	8 (4) 
dwell	7 (1) 
dwelt	8 (3) 
dying	8 (4) 
eager	7 (8) 
eagle	7 (4) 
early	7 (4) 
earth	7 (1) 
easel	7 (9) 
eaten	7 (7) 
eater	7 (3) 
ebony	6 (0) 
eclat	6 (0) 
edict	6 (0) 
edify	7 (2) 
eerie	9 (10) 
egret	7 (4) 
eight	7 (1) 
eject	6 (0) 
eking	8 (6) 
elate	7 (6) 
elbow	7 (4) 
elder	7 (4) 
elect	7 (1) 
elegy	7 (2) 
elfin	7 (1) 
elide	7 (2) 
elite	7 (8) 
elope	7 (1) 
elude	7 (1) 
email	8 (7) 
embed	7 (1) 
ember	7 (3) 
emcee	7 (7) 
empty	7 (3) 
enact	6 (0) 
endow	7 (1) 
enema	9 (6) 
enemy	9 (5) 
enjoy	7 (3) 
ennui	7 (8) 
ensue	8 (3) 
enter	7 (1) 
entry	8 (10) 
envoy	7 (3) 
epoch	7 (2) 
epoxy	7 (2) 
equal	8 (3) 
equip	7 (4) 
erase	7 (4) 
erect	7 (1) 
erode	6 (0) 
error	10 (7) 
erupt	7 (2) 
essay	7 (6) 
ester	7 (4) 
ether	7 (6) 
ethic	7 (2) 
ethos	8 (2) 
etude	7 (1) 
evade	9 (8) 
event	7 (2) 
every	7 (5) 
evict	7 (4) 
evoke	7 (4) 
exact	7 (3) 
exalt	7 (8) 
excel	7 (7) 
exert	7 (2) 
exile	7 (10) 
exist	7 (4) 
expel	7 (3) 
extol	7 (2) 
extra	7 (1) 
exult	7 (4) 
eying	7 (2) 
fable	8 (8) 
facet	7 (6) 
faint	7 (6) 
fairy	8 (10) 
faith	7 (5) 
false	8 (7) 
fancy	7 (4) 
fanny	8 (12) 
farce	7 (3) 
fatal	7 (2) 
fatty	8 (12) 
fault	7 (4) 
fauna	8 (7) 
favor	8 (5) 
feast	7 (3) 
fecal	8 (4) 
feign	8 (7) 
fella	7 (5) 
felon	7 (2) 
femme	8 (11) 
femur	8 (6) 
fence	7 (4) 
feral	6 (0) 
ferry	9 (11) 
fetal	6 (0) 
fetch	8 (4) 
fetid	7 (5) 
fetus	7 (3) 
fever	8 (9) 
fewer	8 (10) 
fiber	8 (10) 
fibre	8 (9) 
ficus	7 (5) 
field	7 (1) 
fiend	7 (1) 
fiery	7 (2) 
fifth	7 (5) 
fifty	8 (9) 
fight	8 (6) 
filer	8 (8) 
filet	7 (6) 
filly	7 (6) 
filmy	7 (2) 
filth	7 (4) 
final	7 (1) 
finch	7 (4) 
finer	8 (5) 
first	6 (0) 
fishy	7 (2) 
fixer	8 (12) 
fizzy	9 (13) 
fjord	8 (3) 
flack	6 (0) 
flail	6 (0) 
flair	8 (3) 
flake	7 (5) 
flaky	8 (3) 
flame	8 (2) 
flank	7 (1) 
flare	8 (3) 
flash	7 (1) 
flask	6 (0) 
fleck	7 (1) 
fleet	8 (7) 
flesh	7 (1) 
flick	7 (1) 
flier	8 (8) 
fling	9 (12) 
flint	7 (1) 
flirt	7 (5) 
float	7 (2) 
flock	6 (0) 
flood	7 (1) 
floor	8 (8) 
flora	8 (4) 
floss	7 (3) 
flour	8 (4) 
flout	7 (1) 
flown	8 (4) 
fluff	7 (5) 
fluid	8 (9) 
fluke	8 (5) 
flume	8 (5) 
flung	9 (11) 
flunk	7 (2) 
flush	7 (5) 
flute	7 (6) 
